DEPTH,RHOB,RHOB_2,DT,GR,PHIT,AI_obs,AI_obs_2,VP,VP_2,VS,LITHOLOGY,AI,SI,VPVS,PR,G_SAT,M_SAT,K_SAT,VP_gas,VS_gas,RHOB_gas,AI_gas,VPVS_gas,PR_gas,K_dry
30.15,2.0489,2.098,152.36028,13.6972,0.3757,3903210.2,40071.2,2000.5215,2063.385,963.1428,1,4098.86825,1973.38322,2.07708,0.34914,1.90065,8.19987,5.66567,1239.6342,1051.7284,1.71828,2130.0435,1.17866,-0.78453,0.0
30.3,2.0489,2.098,152.36028,13.7762,0.3757,3903270.0,40071.2,2000.5215,2063.385,963.1428,1,4098.86825,1973.38322,2.07708,0.34914,1.90065,8.19987,5.66567,1239.6342,1051.7284,1.71828,2130.0435,1.17866,-0.78453,0.0
30.45,2.0489,2.098,152.36028,14.64239,0.3757,3903320.0,40071.2,2000.5215,2063.385,963.1428,1,4098.86825,1973.38322,2.07708,0.34914,1.90065,8.19987,5.66567,1239.6342,1051.7284,1.71828,2130.0435,1.17866,-0.78453,0.0
30.6,2.0489,2.098,152.36028,16.34479,0.3757,3903370.0,40071.2,2000.5215,2063.385,963.1428,1,4098.86825,1973.38322,2.07708,0.34914,1.90065,8.19987,5.66567,1239.6342,1051.7284,1.71828,2130.0435,1.17866,-0.78453,0.0
30.75,2.0489,2.098,152.36028,17.274,0.3757,3903430.0,40071.2,2000.5215,2063.385,963.1428,1,4098.86825,1973.38322,2.07708,0.34914,1.90065,8.19987,5.66567,1239.6342,1051.7284,1.71828,2130.0435,1.17866,-0.78453,0.0
30.9,2.0489,2.098,152.36028,17.0896,0.3757,3903480.2,40071.2,2000.5215,2063.385,963.1428,1,4098.86825,1973.38322,2.07708,0.34914,1.90065,8.19987,5.66567,1239.6342,1051.7284,1.71828,2130.0435,1.17866,-0.78453,0.0
31.05,2.0489,2.098,152.36028,15.5239,0.3757,3903540.0,40071.2,2000.5215,2063.385,963.1428,1,4098.86825,1973.38322,2.07708,0.34914,1.90065,8.19987,5.66567,1239.6342,1051.7284,1.71828,2130.0435,1.17866,-0.78453,0.0
31.2,2.04897,2.098,152.36028,14.20271,0.3756,3903730.2,40071.2,2000.5215,2063.385,963.1428,1,4099.00847,1973.45073,2.07708,0.34914,1.90071,8.20015,5.66587,1239.6041,1051.698,1.71844,2130.1877,1.17867,-0.78448,0.0
31.35,2.049,2.098,152.36028,14.4624,0.3756,3903840.0,40910.098,2000.5215,2063.385,963.1428,1,4099.06857,1973.47967,2.07708,0.34914,1.90074,8.20027,5.66595,1239.602,1051.6965,1.71847,2130.2214,1.17867,-0.78449,0.0
31.5,2.049,2.098,152.36028,14.6248,0.3756,3903900.0,52833.47,2000.5215,2063.385,963.1428,1,4099.06857,1973.47967,2.07708,0.34914,1.90074,8.20027,5.66595,1239.602,1051.6965,1.71847,2130.2214,1.17867,-0.78449,0.0
31.65,2.049,2.098,152.36028,14.6328,0.3756,3903950.0,64756.8,2000.5215,2063.385,963.1428,1,4099.06857,1973.47967,2.07708,0.34914,1.90074,8.20027,5.66595,1239.602,1051.6965,1.71847,2130.2214,1.17867,-0.78449,0.0
31.8,2.049,2.098,152.36028,14.9898,0.3756,3903999.8,76680.234,2000.5215,2063.385,963.1428,1,4099.06857,1973.47967,2.07708,0.34914,1.90074,8.20027,5.66595,1239.602,1051.6965,1.71847,2130.2214,1.17867,-0.78449,0.0
31.95,2.049,2.098,152.36028,15.17,0.3756,3904060.2,88603.61,2000.5215,2063.385,963.1428,1,4099.06857,1973.47967,2.07708,0.34914,1.90074,8.20027,5.66595,1239.602,1051.6965,1.71847,2130.2214,1.17867,-0.78449,0.0
32.1,2.049,2.098,152.36028,14.8143,0.3756,3904110.0,100527.086,2000.5215,2063.385,963.1428,1,4099.06857,1973.47967,2.07708,0.34914,1.90074,8.20027,5.66595,1239.602,1051.6965,1.71847,2130.2214,1.17867,-0.78449,0.0
32.25,2.04906,2.098,152.36028,14.476,0.3756,3904280.0,112299.97,2000.5215,2063.385,963.1428,1,4099.18877,1973.53753,2.07708,0.34914,1.9008,8.20052,5.66612,1239.5978,1051.6936,1.71853,2130.2886,1.17867,-0.78449,0.0
32.4,2.0491,2.098,152.36028,14.7538,0.3756,3904410.0,122938.87,2000.5215,2063.385,963.1428,1,4099.26842,1973.57588,2.07708,0.34914,1.90084,8.20067,5.66623,1239.595,1051.6917,1.71857,2130.3333,1.17867,-0.7845,0.0
32.55,2.0491,2.098,152.36028,15.384,0.3756,3904470.0,133577.03,2000.5215,2063.385,963.1428,1,4099.26842,1973.57588,2.07708,0.34914,1.90084,8.20067,5.66623,1239.595,1051.6917,1.71857,2130.3333,1.17867,-0.7845,0.0
32.7,2.0491,2.098,152.36028,15.8285,0.3756,3904519.8,144215.92,2000.5215,2063.385,963.1428,1,4099.26842,1973.57588,2.07708,0.34914,1.90084,8.20067,5.66623,1239.595,1051.6917,1.71857,2130.3333,1.17867,-0.7845,0.0
32.85,2.0491,2.098,152.36028,15.464,0.3756,3904580.2,154855.08,2000.5215,2063.385,963.1428,1,4099.26842,1973.57588,2.07708,0.34914,1.90084,8.20067,5.66623,1239.595,1051.6917,1.71857,2130.3333,1.17867,-0.7845,0.0
33.0,2.0491,2.098,152.36028,15.0508,0.3755,3904630.0,165493.97,2000.5215,2063.385,963.1428,1,4099.26842,1973.57588,2.07708,0.34914,1.90084,8.20067,5.66623,1239.57,1051.6647,1.71866,2130.3992,1.17867,-0.78445,0.0
